author_name
Stephen King
Rick Riordan
Cassandra Clare
Neil Gaiman
James Patterson
John Green
Dan Brown
Nicholas Sparks
Veronica Roth
John Grisham
Nora Roberts
Jodi Picoult
Gillian Flynn
Brandon Sanderson
Sarah J. Maas
Khaled Hosseini
G. Bailey
Janet Evanovich
Kayla Tirrell
Karen Wiesner
Lizzi Tremayne
Bruce Rose
E.L. James
Margaret Atwood
Paulo Coelho
Richelle Mead
Charlaine Harris
Rainbow Rowell
Sophie Kinsella
Diana Gabaldon
Manuel Alberto Viei
Colleen Hoover
Liane Moriarty
Jennifer L. Armentr
Dean Koontz
Jojo Moyes
Marissa Meyer
Lois Lowry
Kiera Cass
Paula Hawkins
Jim Butcher
Kristin Hannah
Markus Zusak
James Dashner
P.C. Cast
Lee Child
J.R. Ward
Meg Cabot
Nancy Moser
Christopher Paolini
Kristin Cast
Lemony Snicket
Mohamad Farahat
Mery Riansyah
Maggie Stiefvater
Elizabeth Gilbert
Addison Moore
Leigh Bardugo
Ken Follett
David Baldacci
Walter Isaacson
Kathryn Stockett
Michael Connelly
Dana Stabenow
Erica Stevens
Lauren Oliver
Vanessa Vale
Mitch Albom
Lilliana Anderson
Philippa Gregory
Kait Nolan
J.D. Robb
Judith Arnold
Alicia Rades
Aven Ellis
M.A. Church
Sherrie R. Cronin
Cassandra Lawson
D.L. Orton
Lauren Faulkenberry
J.C. Morrows
Donna Huston Murray
C.M. Okonkwo
Janie Marie
Rachel Pudelek
Elise Darcy
Lucy Lakestone
Rebecca Yelland
Rachel Dacus
Nicola Rose
Cailin Briste
A.M. Manay
Katherine  Hastings
Crina-Ludmila Crist
Jo A. Hiestand
Lisa Hofmann
Chevoque
Martha Kennedy
Brittany Butler
Devon  McKay
Roberto Sánchez Ruiz
Sandra Bischoff
Gigi Sedlmayer
Anita Shirodkar
Dawn Hosmer
Lydia van Houten
Maya  Rose
Julia Stilchen
L.B. Shire
Chris Angelis
Sharon Gloger Friedm
L.E. Harrison
Mikah
Sheala Dawn Henke
C.J. Cala
Alysha King
Lilith K. Duat
Samantha Houghton
Thomas Corfield
Joe         King
Theophilus Monroe
Gabriele Valenza
J.A. Hailey
Garrison Kelly
Jo Chambliss
Wilde Syn
Tatjana Mijatovic Si
Justin Tuijl
Denise Wijayaratne
Uylanda Dennis
Tasha Brynn
Andrea Masotti
Aleš Bednarík
Abe Rosy
Jack   Kane
Jamal R. Lowe
Riva N.
D.J. Kinsey
Audrey Niffenegger
David Levithan
Sherrilyn Kenyon
Sarah Dessen
Scott Westerfeld
Laurell K. Hamilton
Chuck Palahniuk
Gayle Forman
Marie Lu
Abbi Glines
Jon Krakauer
Kristen Ashley
Jenny Han
Kelley Armstrong
Emily Giffin
Holly Black
Sylvia Day
Patrick Rothfuss
Brian K. Vaughan
Alan Moore
Sue Monk Kidd
Jeff Kinney
Jamie McGuire
Fredrik Backman
Sara Gruen
Rachel Caine
Victoria Aveyard
Anthony Doerr
Tamora Pierce
Becca Fitzpatrick
Harlan Coben
Lauren Kate
Robin Hobb
Karin Slaughter
Ilona Andrews
Julie Kagawa
Sara Shepard
Ally Condie
Kami Garcia
Debbie Macomber
Gena Showalter
R.L. Stine
L.J. Smith
Jennifer Weiner
Celeste Ng
Margaret Stohl
Roman Tilcer
Andy Weir
Laini Taylor
Mahnam Ebadi
Ruth Ware
Laurie Halse Anderso
Christina Lauren
Patricia Cornwell
Tana French
Nalini Singh
Cameron Conaway
Erik Larson
Christine Feehan
Elin Hilderbrand
Karen Marie Moning
Emma Donoghue
Erin Morgenstern
Lisa Kleypas
Bella Forrest
Neal Stephenson
Ernest Cline
Neal Shusterman
Terry Goodkind
Helen Fielding
Maureen Johnson
Maya Banks
